ticker,listing_date
1301,1949/05/14
1332,1949/05/14
1333,2014/04/01
1375,2020/09/17
1377,1987/05/11
1379,1994/11/22
1407,2006/03/01
1414,2008/01/04
1417,2010/10/01
1419,2013/03/27
1448,2018/10/01
1515,1954/03/03
1518,1961/10/02
1605,2006/04/03
1662,2003/12/10
1663,2014/01/06
1719,2003/10/01
1720,2003/10/01
1721,2003/09/29
1722,2003/08/01
1762,1997/10/22
1766,1997/03/19
1775,1996/02/23
1786,2021/04/01
1793,1994/12/16
1801,1957/09/09
1802,1958/12/06
1803,1961/10/02
1808,1961/10/02
1812,1961/10/02
1820,1961/11/16
1821,1962/02/05
1822,1962/02/01
1824,1962/06/01
1833,1962/09/20
1835,1962/11/19
1852,1963/07/12
1860,1969/04/01
1861,1970/04/01
1865,1973/05/16
1868,1993/02/04
1870,1982/05/24
1871,1962/06/01
1878,1989/03/17
1879,1989/12/20
1881,1949/12/08
1882,1961/10/02
1883,1969/04/15
1884,1961/10/02
1885,1961/09/04
1887,2019/03/05
1888,1961/10/02
1890,1961/10/02
1893,1962/08/02
1899,1975/12/19
1911,1970/05/01
1916,1978/08/01
1925,1961/09/15
1926,1961/10/02
1928,1970/08/01
1929,1983/12/19
1934,1977/12/14
1941,1949/06/22
1942,1961/10/02
1944,1961/10/02
1945,1961/11/02
1946,1962/04/02
1949,1962/11/07
1950,1962/12/01
1951,1963/02/20
1952,1990/11/27
1954,1963/04/01
1956,1963/10/01
1959,1968/11/01
1961,1950/09/05
1963,1962/05/17
1968,1968/12/23
1969,1969/11/14
1973,1983/12/22
1976,1971/10/01
1979,1974/10/21
1980,1975/10/13
1982,1977/11/02
1983,1979/11/01
2001,1949/05/14
2002,1949/05/14
2003,1949/05/16
2004,1949/05/14
2053,1961/10/02
2109,1953/12/04
2117,2011/10/03
2121,2006/09/14
2124,2006/09/22
2127,2006/10/10
2146,2007/04/02
2150,2007/04/20
2151,2007/05/30
2154,2007/06/06
2157,2007/06/27
2160,2007/08/31
2168,2007/12/03
2170,2007/12/17
2174,2008/03/03
2175,2008/03/13
2181,2008/10/01
2201,1949/05/14
2206,1954/03/05
2208,2000/03/01
2211,1962/06/11
2212,1962/07/20
2220,1984/10/31
2222,1994/11/09
2229,2011/03/11
2264,1954/09/01
2267,1980/01/23
2268,1987/12/10
2269,2009/04/01
2270,2009/10/01
2281,1961/10/02
2282,1962/02/03
2288,1963/06/10
2292,1989/08/28
2296,2016/04/01
2305,2002/06/14
2309,2002/06/17
2317,2002/08/27
2326,2002/09/19
2327,2002/10/11
2329,2002/10/08
2331,2002/10/25
2337,2002/11/08
2353,2003/02/18
2362,2003/09/18
2371,2003/10/09
2379,2004/05/27
2384,2003/12/15
2395,2004/03/08
2398,2004/04/08
2412,2004/09/17
2413,2004/09/16
2427,2004/12/15
2429,2005/02/09
2432,2005/02/16
2433,2005/02/16
2462,2005/12/08
2466,2005/12/15
2471,2006/02/10
2475,2006/03/16
2477,2006/03/15
2484,2006/06/05
2491,2006/07/31
2492,2006/08/08
2501,1949/10/31
2502,1949/10/31
2503,1949/05/14
2531,1949/05/14
2579,1994/06/15
2585,2021/12/21
2587,2013/07/03
2588,2013/03/15
2590,2001/08/09
2593,1992/05/28
2594,1994/01/21
2602,1949/06/10
2607,1961/10/02
2612,1993/11/18
2613,2002/03/31
2651,2000/07/26
2653,2000/08/07
2659,2000/09/07
2664,2000/09/21
2670,2000/10/19
2678,2000/11/21
2681,2000/11/24
2685,2000/12/12
2692,2001/03/13
2695,2001/05/29
2698,2001/06/27
2702,2001/07/26
2715,2002/06/10
2726,2001/12/14
2729,2002/02/28
2730,2002/03/28
2733,2002/04/01
2734,2002/04/30
2737,2002/06/26
2742,2002/09/03
2751,2002/12/10
2752,2002/12/17
2760,2003/03/07
2761,2003/03/06
2763,2003/03/12
2767,2003/03/19
2768,2003/04/01
2782,2003/09/18
2784,2003/09/29
2790,2003/12/15
2791,2003/12/16
2792,2003/12/16
2801,1949/05/14
2802,1949/05/14
2805,1961/10/02
2809,1970/07/22
2810,1971/07/01
2811,1976/11/01
2815,1991/10/22
2819,2003/11/13
2871,1949/05/14
2874,1962/12/27
2875,1970/09/28
2897,1963/10/21
2899,1976/12/31
2908,1990/12/25
2910,2000/02/25
2914,1994/10/27
2918,1995/07/18
2928,2006/05/30
2929,2006/06/12
2930,2012/05/29
2931,2012/12/20
2937,2022/12/21
2980,2019/12/19
3001,1949/05/14
3002,1949/05/14
3003,1949/05/16
3028,2006/03/24
3034,2006/04/21
3036,2006/04/24
3038,2006/06/08
3046,2006/08/08
3048,2006/08/10
3050,2006/09/01
3064,2006/12/06
3076,2007/04/02
3085,2007/08/30
3086,2007/09/03
3087,2007/10/01
3088,2007/10/01
3091,2007/11/02
3092,2007/12/11
3097,2008/03/26
3098,2008/04/01
3099,2008/04/01
3101,1949/05/14
3104,1949/05/14
3105,1949/05/14
3106,1949/05/14
3107,1949/05/14
3110,1949/05/14
3116,1950/08/25
3132,2015/04/01
3141,2008/09/01
3148,2009/03/01
3150,2009/03/13
3151,2009/04/01
3156,2009/10/01
3159,2010/02/01
3167,2011/04/01
3176,2012/10/23
3182,2013/03/13
3186,2013/07/30
3191,2014/04/18
3194,2014/08/18
3196,2014/09/30
3197,2014/10/09
3198,2014/12/16
3201,1949/05/14
3222,2015/03/02
3228,2006/09/12
3231,2006/10/03
3232,2006/10/01
3244,2007/07/31
3252,2007/11/08
3254,2007/12/20
3258,2009/06/23
3288,2013/09/20
3289,2013/10/01
3291,2013/11/01
3302,1950/09/20
3333,2004/08/12
3341,2004/09/17
3349,2004/11/11
3360,2005/02/22
3371,2005/04/20
3382,2005/09/01
3385,2005/09/15
3387,2005/09/28
3391,2005/11/16
3395,2006/01/01
3397,2006/02/15
3401,1949/05/14
3402,1949/05/14
3405,1949/05/14
3407,1949/05/14
3433,2003/12/19
3436,2005/11/17
3445,2015/03/24
3458,2015/04/21
3465,2015/12/24
3479,2017/03/27
3480,2017/07/20
3491,2018/07/25
3496,2018/09/20
3498,2018/11/28
3539,2016/04/21
3540,2017/12/18
3543,2016/06/29
3549,2016/11/21
3561,2017/03/21
3563,2017/03/30
3564,2017/04/12
3569,1962/12/01
3591,1964/09/07
3593,1991/12/04
3608,2011/06/01
3612,2018/09/28
3626,2008/04/01
3628,2008/09/19
3630,2008/10/30
3632,2008/12/17
3635,2009/04/01
3636,2009/09/14
3657,2011/10/26
3659,2011/12/14
3660,2012/03/08
3661,2012/03/14
3668,2012/12/13
3673,2013/03/22
3676,2013/10/01
3679,2013/11/22
3687,2014/04/23
3688,2014/07/02
3689,2014/07/15
3694,2014/10/22
3697,2014/11/13
3708,2007/04/02
3711,2003/04/25
3724,2003/12/03
3733,2004/02/20
3738,2004/04/07
3756,2004/11/09
3762,2005/02/18
3765,2005/03/09
3769,2005/04/04
3774,2005/12/02
3788,2005/12/16
3817,2006/09/30
3825,2006/12/01
3835,2006/12/26
3836,2007/02/08
3844,2007/03/20
3854,2007/06/29
3856,2007/09/19
3861,1949/12/06
3863,2013/04/01
3865,1949/05/14
3880,1979/01/04
3901,2014/12/16
3902,2014/12/16
3903,2014/12/18
3906,2015/02/19
3914,2015/04/28
3923,2015/12/09
3926,2015/12/17
3932,2016/03/17
3938,2016/07/15
3941,1949/05/14
3950,1991/09/11
3962,2016/09/27
3964,2017/03/29
3966,2016/10/21
3978,2017/03/22
3983,2017/03/24
3984,2017/03/30
3993,2017/09/22
3994,2017/09/29
4004,1949/05/14
4005,1949/05/14
4008,1952/07/18
4021,1949/05/14
4023,1949/05/14
4025,1949/05/14
4028,1949/07/01
4033,1995/09/07
4041,1949/05/14
4042,1949/05/14
4043,1949/05/14
4044,1949/05/14
4045,1949/05/14
4046,1949/05/14
4047,1961/10/02
4051,2020/07/15
4053,2020/07/31
4061,1949/05/14
4062,1949/05/14
4063,1949/05/14
4071,2021/06/30
4080,2000/02/21
4088,1950/04/01
4091,1949/05/14
4095,1961/10/02
4097,1962/07/02
4099,1962/10/12
4107,1990/10/16
4109,1999/10/01
4114,1952/05/06
4116,1961/10/02
4118,1949/10/31
4151,1949/08/22
4169,2020/12/23
4180,2021/03/30
4182,1954/02/15
4183,1962/10/05
4185,1970/10/01
4186,1986/07/30
4187,1987/07/01
4188,2005/10/01
4189,2016/10/12
4194,2021/04/22
4202,1949/05/14
4203,1949/05/14
4204,1953/04/01
4205,1961/09/11
4206,1949/05/16
4208,1949/05/14
4212,1971/04/01
4215,1961/10/02
4216,1961/10/02
4218,1961/10/02
4220,1961/10/02
4239,2006/03/03
4246,2014/03/13
4272,1949/05/14
4282,2001/07/09
4290,2001/07/25
4293,2001/08/09
4298,2001/09/12
4307,2001/12/17
4318,2001/10/23
4321,2003/12/12
4324,2001/11/30
4326,2001/11/29
4337,2002/01/30
4342,2002/02/19
4343,2002/02/13
4345,2002/03/06
4348,2002/03/19
4362,1979/12/03
4365,1991/11/08
4368,2001/05/30
4369,2007/08/03
4371,2021/09/22
4373,2021/09/22
4375,2021/09/29
4384,2018/05/31
4385,2018/06/19
4390,2018/06/27
4401,1949/05/14
4403,1949/09/01
4413,2021/11/30
4417,2021/12/20
4419,2021/12/22
4423,2018/12/12
4431,2019/02/28
4432,2021/03/16
4443,2019/06/19
4448,2019/09/24
4449,2019/09/20
4452,1949/05/14
4471,1968/05/20
4477,2019/10/25
4478,2019/12/17
4480,2019/12/12
4481,2019/12/16
4483,2019/12/16
4485,2019/12/18
4502,1949/05/14
4503,1949/05/14
4506,1949/05/14
4507,1949/05/14
4508,1949/05/14
4514,1955/08/31
4516,1956/03/20
4517,1961/10/02
4519,1956/03/03
4521,1961/10/02
4523,1961/09/14
4526,1961/10/02
4527,1961/10/02
4528,1962/06/01
4530,1962/09/01
4534,1963/05/13
4536,1963/11/04
4540,1978/08/16
4543,1982/06/21
4544,1983/09/01
4547,1988/12/22
4548,1989/11/06
4549,1990/01/29
4551,1963/06/25
4552,1992/10/27
4553,1994/07/29
4555,1995/09/13
4559,1998/12/22
4565,2004/07/29
4568,2005/09/28
4569,2006/03/10
4577,2010/03/24
4578,2010/12/15
4581,2011/10/03
4587,2013/06/11
4592,2015/04/08
4599,2019/08/09
4612,1949/05/30
4613,1949/05/14
4617,1949/07/16
4626,1990/09/14
4628,1994/10/19
4631,1950/05/29
4633,1961/10/02
4634,1961/10/02
4641,1996/06/17
4661,1996/12/11
4665,2006/12/12
4666,1997/03/24
4674,1997/07/23
4676,1997/08/08
4680,1997/08/28
4681,1997/09/11
4684,1998/12/17
4686,1997/10/16
4687,1997/10/16
4689,2003/10/28
4694,1999/11/30
4704,1998/08/18
4708,1998/10/02
4714,1998/12/16
4716,1999/02/05
4719,1999/04/14
4722,1999/06/22
4726,1999/07/23
4732,1999/09/10
4733,1999/10/07
4739,1999/12/14
4746,2000/03/07
4751,2000/03/24
4755,2000/04/19
4763,2000/06/19
4765,2000/06/23
4768,2000/07/14
4775,2000/08/10
4776,2000/08/23
4781,2000/08/30
4812,2000/11/30
4813,2001/02/26
4816,2000/12/08
4819,2000/12/14
4820,2000/12/15
4825,2000/12/25
4828,2001/02/19
4832,2001/03/08
4837,2001/04/01
4839,2001/04/20
4848,2001/06/15
4849,2001/06/12
4880,2019/10/28
4886,2021/04/01
4887,2021/04/01
4901,1949/05/14
