ticker,fiscal_year,fiscal_quarter,end_date,tangible_fixed_assets,long_term_debt_issuance
1301,2005,4,2006-03-31,8774000000,181000000
1301,2006,4,2007-03-31,9209000000,665000000
1301,2007,4,2008-03-31,8777000000,
1301,2008,4,2009-03-31,10231000000,795000000
1301,2009,4,2010-03-31,11568000000,1205000000
1301,2010,4,2011-03-31,12331000000,2040000000
1301,2011,4,2012-03-31,11574000000,40000000
1301,2012,4,2013-03-31,11281000000,6410000000
1301,2013,4,2014-03-31,10597000000,4600000000
1301,2014,4,2015-03-31,12241000000,1672000000
1301,2015,4,2016-03-31,16972000000,12027000000
1301,2016,4,2017-03-31,17137000000,2025000000
1301,2017,4,2018-03-31,15377000000,5512000000
1301,2018,4,2019-03-31,14981000000,7781000000
1301,2019,4,2020-03-31,15976000000,6388000000
1301,2020,4,2021-03-31,15715000000,16078000000
1301,2021,4,2022-03-31,18897000000,2717000000
1301,2022,4,2023-03-31,18912000000,6416000000
1332,2005,4,2006-03-31,93640000000,17086000000
1332,2006,4,2007-03-31,94661000000,33973000000
1332,2007,4,2008-03-31,105044000000,17388000000
1332,2008,4,2009-03-31,108086000000,39251000000
1332,2009,4,2010-03-31,112860000000,36097000000
1332,2010,4,2011-03-31,113200000000,31562000000
1332,2011,4,2012-03-31,109350000000,22830000000
1332,2012,4,2013-03-31,112607000000,43180000000
1332,2013,4,2014-03-31,109432000000,19590000000
1332,2014,4,2015-03-31,113667000000,15317000000
1332,2015,4,2016-03-31,118116000000,14539000000
1332,2016,4,2017-03-31,123630000000,12800000000
1332,2017,4,2018-03-31,132782000000,34989000000
1332,2018,4,2019-03-31,137525000000,15633000000
1332,2019,4,2020-03-31,148042000000,28747000000
1332,2020,4,2021-03-31,147428000000,24289000000
1332,2021,4,2022-03-31,145379000000,832000000
1332,2022,4,2023-03-31,149017000000,27196000000
1333,2008,4,2009-03-31,11298000000,
1333,2009,4,2010-03-31,11050000000,
1333,2010,4,2011-03-31,10844000000,
1333,2011,4,2012-03-31,21720000000,6200000000
1333,2013,4,2014-03-31,24649000000,12229000000
1333,2014,4,2015-03-31,143373000000,37215000000
1333,2015,4,2016-03-31,139595000000,34470000000
1333,2016,4,2017-03-31,140014000000,58577000000
1333,2017,4,2018-03-31,138444000000,38123000000
1333,2018,4,2019-03-31,140351000000,36657000000
1333,2019,4,2020-03-31,148206000000,30317000000
1333,2020,4,2021-03-31,147902000000,28370000000
1333,2021,4,2022-03-31,140249000000,33853000000
1333,2022,4,2023-03-31,148995000000,61222000000
1375,2008,4,2009-03-31,22303000000,4210000000
1375,2009,4,2010-03-31,22488000000,3857000000
1375,2010,4,2011-03-31,26179000000,9406000000
1375,2011,4,2012-03-31,27221000000,7382000000
1375,2012,4,2013-03-31,26723000000,5140000000
1375,2013,4,2014-03-31,26170000000,4880000000
1375,2019,4,2020-03-31,16710000000,
1375,2020,4,2021-03-31,18031000000,
1375,2021,4,2022-03-31,19170000000,
1375,2022,4,2023-03-31,18966000000,
1377,2005,4,2006-05-31,31361000000,
1377,2006,4,2007-05-31,30535000000,
1377,2007,4,2008-05-31,29046000000,
1377,2008,4,2009-05-31,27271000000,
1377,2009,4,2010-05-31,27138000000,977000000
1377,2010,4,2011-05-31,26390000000,8000000
1377,2011,4,2012-05-31,26186000000,118000000
1377,2012,4,2013-05-31,26560000000,976000000
1377,2013,4,2014-05-31,27528000000,
1377,2014,4,2015-05-31,27439000000,941000000
1377,2015,4,2016-05-31,28305000000,537000000
1377,2016,4,2017-05-31,28753000000,323000000
1377,2017,4,2018-05-31,30699000000,189000000
1377,2018,4,2019-05-31,32815000000,1420000000
1377,2019,4,2020-05-31,32845000000,405000000
1377,2020,4,2021-05-31,34237000000,15000000
1377,2021,4,2022-05-31,36506000000,352000000
1379,2005,4,2006-03-31,30845000000,
1379,2006,4,2007-03-31,33924000000,
1379,2007,4,2008-03-31,37532000000,
1379,2008,4,2009-03-31,44111000000,
1379,2009,4,2010-03-31,45156000000,
1379,2010,4,2011-03-31,43984000000,3000000000
1379,2011,4,2012-03-31,45920000000,3786000000
1379,2012,4,2013-03-31,47232000000,400000000
1379,2013,4,2014-03-31,52771000000,807000000
1379,2014,4,2015-03-31,56715000000,936000000
1379,2015,4,2016-03-31,60098000000,2000000000
1379,2016,4,2017-03-31,68350000000,8056000000
1379,2017,4,2018-03-31,69191000000,869000000
1379,2018,4,2019-03-31,72365000000,5000000000
1379,2019,4,2020-03-31,67271000000,5730000000
1379,2020,4,2021-03-31,64047000000,2000000000
1379,2021,4,2022-03-31,68774000000,11000000000
1379,2022,4,2023-03-31,63973000000,5000000000
1407,2005,4,2006-08-31,1263000000,2300000000
1407,2006,4,2007-08-31,1232000000,1585000000
1407,2007,4,2008-08-31,1868000000,6950000000
1407,2008,4,2009-08-31,1949614000,605000000
1407,2009,4,2010-08-31,1936645000,3190000000
1407,2010,4,2011-08-31,1955433000,8344534000
1407,2011,4,2012-08-31,1895478000,3350000000
1407,2012,4,2013-08-31,1350036000,5900000000
1407,2013,4,2014-08-31,2647597000,10634000000
1407,2014,4,2015-08-31,8622000000,9894000000
1407,2015,4,2016-08-31,9757000000,20606000000
1407,2016,4,2017-08-31,15895000000,12250000000
1407,2017,4,2018-08-31,14576000000,16000000000
1407,2018,4,2019-08-31,13526000000,18714000000
1407,2019,4,2020-08-31,12315000000,12900000000
1407,2020,4,2021-08-31,15086000000,15768000000
1407,2021,4,2022-08-31,28494000000,27442000000
1414,2007,4,2008-06-30,10830000000,
1414,2008,4,2009-06-30,10623000000,
1414,2009,4,2010-06-30,12835000000,
1414,2010,4,2011-06-30,12722000000,
1414,2011,4,2012-06-30,12604000000,
1414,2012,4,2013-06-30,12437000000,
1414,2013,4,2014-06-30,12083000000,
1414,2014,4,2015-06-30,12010000000,
1414,2015,4,2016-06-30,11983000000,
1414,2016,4,2017-06-30,11898000000,
1414,2017,4,2018-06-30,11909000000,
1414,2018,4,2019-06-30,12083000000,
1414,2019,4,2020-06-30,12134000000,
1414,2020,4,2021-06-30,13102000000,
1414,2021,4,2022-06-30,14585000000,
1417,2010,4,2011-03-31,30510000000,
1417,2011,4,2012-03-31,30092000000,
1417,2012,4,2013-03-31,29225000000,
1417,2013,4,2014-03-31,29559000000,
1417,2014,4,2015-03-31,30314000000,
1417,2015,4,2016-03-31,31730000000,
1417,2016,4,2017-03-31,34609000000,
1417,2017,4,2018-03-31,44876000000,
1417,2018,4,2019-03-31,78840000000,
1417,2019,4,2020-03-31,82596000000,
1417,2020,4,2021-03-31,86655000000,
1417,2021,4,2022-03-31,91552000000,
1417,2022,4,2023-03-31,93470000000,29826000000
1419,2007,4,2008-05-31,17018000000,
1419,2008,4,2009-05-31,19962000000,
1419,2009,4,2010-05-31,18646000000,
1419,2010,4,2011-05-31,21057000000,
1419,2011,4,2012-05-31,19754000000,535000000
1419,2012,4,2013-05-31,18868000000,4258000000
1419,2013,4,2014-05-31,21792000000,8197000000
1419,2014,4,2015-05-31,25476000000,12184000000
1419,2015,4,2016-05-31,25432000000,8002000000
1419,2016,4,2017-05-31,23705000000,10033000000
1419,2017,4,2018-05-31,23377000000,10369000000
1419,2018,4,2019-05-31,19778000000,5784000000
1419,2019,4,2020-05-31,19434000000,6103000000
1419,2020,4,2021-05-31,18732000000,264000000
1419,2021,4,2022-05-31,18867000000,3675000000
1448,2018,4,2019-03-31,28569000000,11430000000
1448,2019,4,2020-03-31,23459000000,1638000000
1448,2020,4,2021-03-31,21904000000,1240000000
1515,2005,4,2006-03-31,49923000000,10400000000
1515,2006,4,2007-03-31,53130000000,949000000
1515,2007,4,2008-03-31,51225000000,5854000000
1515,2008,4,2009-03-31,51067000000,8162000000
1515,2009,4,2010-03-31,47245000000,150000000
1515,2010,4,2011-03-31,44802000000,1344000000
1515,2011,4,2012-03-31,43234000000,643000000
1515,2012,4,2013-03-31,47460000000,3900000000
1515,2013,4,2014-03-31,56880000000,11706000000
1515,2014,4,2015-03-31,59234000000,190000000
1515,2015,4,2016-03-31,57242000000,722000000
1515,2016,4,2017-03-31,57240000000,1050000000
1515,2017,4,2018-03-31,56118000000,
1515,2018,4,2019-03-31,58369000000,3300000000
1515,2019,4,2020-03-31,61716000000,100000000
1515,2020,4,2021-03-31,62584000000,1982000000
1515,2021,4,2022-03-31,67117000000,334000000
1515,2022,4,2023-03-31,70276000000,
1518,2005,4,2006-03-31,21023000000,4185000000
1518,2006,4,2007-03-31,20200000000,2726000000
1518,2007,4,2008-03-31,21589000000,2620000000
1518,2008,4,2009-03-31,21112000000,3400000000
1518,2009,4,2010-03-31,22319000000,2681000000
1518,2010,4,2011-03-31,25930000000,2690000000
1518,2011,4,2012-03-31,24759000000,
1518,2012,4,2013-03-31,27864000000,
1518,2013,4,2014-03-31,26388000000,3130000000
1518,2014,4,2015-03-31,25504000000,2720000000
1518,2015,4,2016-03-31,23053000000,1400000000
1518,2016,4,2017-03-31,21182000000,4800000000
1518,2017,4,2018-03-31,19032000000,700000000
1518,2018,4,2019-03-31,17099000000,700000000
1518,2019,4,2020-03-31,15855000000,6500000000
1518,2020,4,2021-03-31,13427000000,1990000000
1518,2021,4,2022-03-31,13016000000,
1518,2022,4,2023-03-31,12747000000,
1605,2006,4,2007-03-31,219227000000,30083000000
1605,2007,4,2008-03-31,254481000000,40784000000
1605,2008,4,2009-03-31,297635000000,12040000000
