ticker,fiscal_year,fiscal_quarter,end_date,tangible_fixed_assets,long_term_loans_payable
1301,2005,4,2006-03-31,8774000000,
1301,2006,4,2007-03-31,9209000000,
1301,2007,4,2008-03-31,8777000000,
1301,2008,4,2009-03-31,10231000000,2085000000
1301,2009,4,2010-03-31,11568000000,2712000000
1301,2010,4,2011-03-31,12331000000,3622000000
1301,2011,4,2012-03-31,11574000000,2797000000
1301,2012,4,2013-03-31,11281000000,8153000000
1301,2013,4,2014-03-31,10597000000,11997000000
1301,2014,4,2015-03-31,12241000000,11834000000
1301,2015,4,2016-03-31,16972000000,22177000000
1301,2016,4,2017-03-31,17137000000,18775000000
1301,2017,4,2018-03-31,15377000000,19800000000
1301,2018,4,2019-03-31,14981000000,23193000000
1301,2019,4,2020-03-31,15976000000,19124000000
1301,2020,4,2021-03-31,15715000000,32720000000
1301,2021,4,2022-03-31,18897000000,27021000000
1301,2022,4,2023-03-31,18912000000,29816000000
1332,2005,4,2006-03-31,93640000000,
1332,2006,4,2007-03-31,94661000000,
1332,2007,4,2008-03-31,105044000000,
1332,2008,4,2009-03-31,108086000000,101469000000
1332,2009,4,2010-03-31,112860000000,106993000000
1332,2010,4,2011-03-31,113200000000,118740000000
1332,2011,4,2012-03-31,109350000000,119792000000
1332,2012,4,2013-03-31,112607000000,131940000000
1332,2013,4,2014-03-31,109432000000,128259000000
1332,2014,4,2015-03-31,113667000000,114399000000
1332,2015,4,2016-03-31,118116000000,95104000000
1332,2016,4,2017-03-31,123630000000,69309000000
1332,2017,4,2018-03-31,132782000000,88807000000
1332,2018,4,2019-03-31,137525000000,86979000000
1332,2019,4,2020-03-31,148042000000,100361000000
1332,2020,4,2021-03-31,147428000000,112230000000
1332,2021,4,2022-03-31,145379000000,94939000000
1332,2022,4,2023-03-31,149017000000,104913000000
