ticker,fiscal_year,fiscal_quarter,end_date,sga
1301,2005,4,2006-03-31,13702000000
1301,2006,4,2007-03-31,14455000000
1301,2007,4,2008-03-31,14353000000
1301,2008,4,2009-03-31,14722000000
1301,2009,4,2010-03-31,15670000000
1301,2010,4,2011-03-31,17056000000
1301,2011,4,2012-03-31,17838000000
1301,2012,4,2013-03-31,18535000000
1301,2013,4,2014-03-31,18396000000
1301,2014,4,2015-03-31,17881000000
1301,2015,4,2016-03-31,18337000000
1301,2016,4,2017-03-31,19544000000
1301,2017,4,2018-03-31,19536000000
1301,2018,4,2019-03-31,19873000000
1301,2019,4,2020-03-31,21326000000
1301,2020,4,2021-03-31,20918000000
1301,2021,4,2022-03-31,21624000000
1301,2022,4,2023-03-31,22921000000
