ticker,fiscal_year,fiscal_quarter,end_date,stock_price
7868,2005,1,2005-06-30,886
7868,2005,2,2005-09-30,891
7868,2005,3,2005-12-30,980
7868,2005,4,2006-03-31,1285
7868,2006,1,2006-06-30,1003
7868,2006,2,2006-09-29,675.8030284832772
7868,2006,3,2006-12-29,613
7868,2006,4,2007-03-30,703.013964289045
7868,2007,1,2007-06-29,705
7868,2007,2,2007-09-28,800.0265502255746
7868,2007,3,2007-12-28,760
7868,2007,4,2008-03-31,631
7868,2008,1,2008-06-30,510
7868,2008,2,2008-09-30,325
7868,2008,3,2008-12-30,265.00212699364016
7868,2008,4,2009-03-31,190
7868,2009,1,2009-06-30,301
7868,2009,2,2009-09-30,229
7868,2009,3,2009-12-30,195
7868,2009,4,2010-03-31,183
7868,2010,1,2010-06-30,147
7868,2010,2,2010-09-30,125
7868,2010,3,2010-12-30,127.00208979647141
7868,2010,4,2011-03-31,107
7868,2011,1,2011-06-30,233
7868,2011,2,2011-09-30,185
7868,2011,3,2011-12-30,195
7868,2011,4,2012-03-30,297
7868,2012,1,2012-06-29,318.00038288823515
7868,2012,2,2012-09-28,258.00072484077083
7868,2012,3,2012-12-28,303
7868,2012,4,2013-03-29,390.00219139138784
7868,2013,1,2013-06-28,469
7868,2013,2,2013-09-30,539
7868,2013,3,2013-12-30,581
7868,2013,4,2014-03-31,513
7868,2014,1,2014-06-30,449
7868,2014,2,2014-09-30,451
7868,2014,3,2014-12-30,460.0033233473702
7868,2014,4,2015-03-31,578
7868,2015,1,2015-06-30,600
7868,2015,2,2015-09-30,389
7868,2015,3,2015-12-30,426
7868,2015,4,2016-03-31,332
7868,2016,1,2016-06-30,302
7868,2016,2,2016-09-30,305
7868,2016,3,2016-12-30,360
7868,2016,4,2017-03-31,379
7868,2017,1,2017-06-30,364
7868,2017,2,2017-09-29,378.0008344789859
7868,2017,3,2017-12-29,447
7868,2017,4,2018-03-30,575
7868,2018,1,2018-06-29,508
7868,2018,2,2018-09-28,528.0044505921057
7868,2018,3,2018-12-28,383.0013835900441
7868,2018,4,2019-03-29,802.037150651917
7868,2019,1,2019-06-28,640.002312119702
7868,2019,2,2019-09-30,715
7868,2019,3,2019-12-30,816
7868,2019,4,2020-03-31,709
7868,2020,1,2020-06-30,775
7868,2020,2,2020-09-30,666
7868,2020,3,2020-12-30,719.002308674056
7868,2020,4,2021-03-31,1027
7868,2021,1,2021-06-30,834
7868,2021,2,2021-09-30,1412
7868,2021,3,2021-12-30,799
7868,2021,4,2022-03-31,802
7868,2022,1,2022-06-30,1102
7868,2022,2,2022-09-30,1407
7868,2022,3,2022-12-30,2120.0141916961265
7868,2022,4,2023-03-31,2352
7873,2005,1,2005-06-30,2665
7873,2005,2,2005-09-30,3145
7873,2005,3,2005-12-30,4340
7873,2005,4,2006-03-31,4290
7873,2006,1,2006-06-30,2700
7873,2006,2,2006-09-29,762.5010637789974
7873,2006,3,2006-12-29,1773
7873,2006,4,2007-03-30,1424.0021330388715
7873,2007,1,2007-06-29,1113
7873,2007,2,2007-09-28,776.000170939207
7873,2007,3,2007-12-28,339
7873,2007,4,2008-03-31,312
7873,2008,1,2008-06-30,274
7873,2008,2,2008-09-30,169
7873,2008,3,2008-12-30,125
7873,2008,4,2009-03-31,67
7873,2009,1,2009-06-30,94
7873,2009,2,2009-09-30,73
7873,2009,3,2009-12-30,61
7873,2009,4,2010-03-31,85
7873,2010,1,2010-06-30,88
7873,2010,2,2010-09-30,91
7873,2010,3,2010-12-30,118
7873,2010,4,2011-03-31,103
7873,2011,1,2011-06-30,85
7873,2011,2,2011-09-30,74
7873,2011,3,2011-12-30,70
7873,2011,4,2012-03-30,87
7873,2012,1,2012-06-29,234
7873,2012,2,2012-09-28,161
7873,2012,3,2012-12-28,162
7873,2012,4,2013-03-29,171.95993038007708
7873,2013,1,2013-06-28,223
7873,2013,2,2013-09-30,257
7873,2013,3,2013-12-30,309
7873,2013,4,2014-03-31,287
7873,2014,1,2014-06-30,178
7873,2014,2,2014-09-30,155
7873,2014,3,2014-12-30,141
7873,2014,4,2015-03-31,136
7873,2015,1,2015-06-30,131
7873,2015,2,2015-09-30,106
7873,2015,3,2015-12-30,110.21329240417987
7873,2015,4,2016-03-31,87
7873,2016,1,2016-06-30,72
7873,2016,2,2016-09-30,74
7873,2016,3,2016-12-30,117.99928972071021
7873,2016,4,2017-03-31,102
7873,2017,1,2017-06-30,117
7873,2017,2,2017-09-29,107.98443268142051
7873,2017,3,2017-12-29,118
7873,2017,4,2018-03-30,102.14211560035538
7873,2018,1,2018-06-29,120
7873,2018,2,2018-09-28,114
7873,2018,3,2018-12-28,76
7873,2018,4,2019-03-29,106
7873,2019,1,2019-06-28,101
7873,2019,2,2019-09-30,94
7873,2019,3,2019-12-30,94
7873,2019,4,2020-03-31,73
7905,2005,1,2005-06-30,2370.0000181178166
7905,2005,2,2005-09-30,2240.000051373994
7905,2005,3,2005-12-30,2310.0000529794315
7905,2005,4,2006-03-31,2265.000051948878
7905,2006,1,2006-06-30,2145.00004919662
7905,2006,2,2006-09-29,2080.023423817395
7905,2006,3,2006-12-29,2260.0000518347833
7905,2006,4,2007-03-30,2000.013730959809
7905,2007,1,2007-06-29,1900.000029052142
7905,2007,2,2007-09-28,1640.0318729595492
7905,2007,3,2007-12-28,1340
7905,2007,4,2008-03-31,1050
7905,2008,1,2008-06-30,980.0000151010848
7905,2008,2,2008-09-30,935.0000288155152
7905,2008,3,2008-12-30,1035.9746799862462
7905,2008,4,2009-03-31,800.0000125205572
7905,2009,1,2009-06-30,870.000027232279
7905,2009,2,2009-09-30,1195.0000374053138
7905,2009,3,2009-12-30,1010.0036277805873
7905,2009,4,2010-03-31,1285.0000302382089
7905,2010,1,2010-06-30,1055
7905,2010,2,2010-09-30,1105
7905,2010,3,2010-12-30,1083.5641459111494
7905,2010,4,2011-03-31,1540.000024544341
7905,2011,1,2011-06-30,1255.0000200021477
7905,2011,2,2011-09-30,1325
7905,2011,3,2011-12-30,1150.0030700589443
7905,2011,4,2012-03-30,1430.005572507243
7905,2012,1,2012-06-29,1085.0023864125103
7905,2012,2,2012-09-28,944.9962647605194
7905,2012,3,2012-12-28,1165.0000371356375
7905,2012,4,2013-03-29,1285.0023450081426
7905,2013,1,2013-06-28,1330.0107896827892
7905,2013,2,2013-09-30,1400.000011156796
7905,2013,3,2013-12-30,1410.0172032719297
7905,2013,4,2014-03-31,1405.000033590336
7905,2014,1,2014-06-30,1440.0000235135976
7905,2014,2,2014-09-30,1435.0000234320012
7905,2014,3,2014-12-30,1345.5911546942236
7905,2014,4,2015-03-31,1355.0000334519996
7905,2015,1,2015-06-30,1545.000025428499
7905,2015,2,2015-09-30,1815
7905,2015,3,2015-12-30,1799.814828882305
7905,2015,4,2016-03-31,1570.000052108896
7905,2016,1,2016-06-30,1625.0000539343848
7905,2016,2,2016-09-30,1972
7905,2016,3,2016-12-30,2065.9939998615096
7905,2016,4,2017-03-31,2061
7905,2017,1,2017-06-30,2414
7905,2017,2,2017-09-29,2838
7905,2017,3,2017-12-29,2940.0078066127435
7905,2017,4,2018-03-30,2512
7905,2018,1,2018-06-29,2555
7905,2018,2,2018-09-28,2097.4372743900512
7905,2018,3,2018-12-28,1988.0030565037302
7905,2018,4,2019-03-29,2154
7905,2019,1,2019-06-28,2199.007522553419
7905,2019,2,2019-09-30,1875
7905,2019,3,2019-12-30,1988
7905,2019,4,2020-03-31,1696
7905,2020,1,2020-06-30,1808
7905,2020,2,2020-09-30,1833
7905,2020,3,2020-12-30,1752
7905,2020,4,2021-03-31,2204
7905,2021,1,2021-06-30,2086
7905,2021,2,2021-09-30,2350
7905,2021,3,2021-12-30,2171.0026660949075
7905,2021,4,2022-03-31,2172
7905,2022,1,2022-06-30,1832
7905,2022,2,2022-09-30,1824
7905,2022,3,2022-12-30,2093.0063419564412
7905,2022,4,2023-03-31,2280
7906,2005,1,2005-06-30,254.25
7906,2005,2,2005-09-30,295
7906,2005,3,2005-12-30,303
7906,2005,4,2006-03-31,281.5
7906,2006,1,2006-06-30,245
7906,2006,2,2006-09-29,231.75
7906,2006,3,2006-12-29,242
7906,2006,4,2007-03-30,218.75099227958341
7906,2007,1,2007-06-29,202
7906,2007,2,2007-09-28,170.5
7906,2007,3,2007-12-28,167.5
7906,2007,4,2008-03-31,200
7906,2008,1,2008-06-30,200.75
7906,2008,2,2008-09-30,186.75
7906,2008,3,2008-12-30,152.57888708682813
7906,2008,4,2009-03-31,165
7906,2009,1,2009-06-30,167.5
7906,2009,2,2009-09-30,170
7906,2009,3,2009-12-30,161.21625388158841
7906,2009,4,2010-03-31,165
7906,2010,1,2010-06-30,157.5
7906,2010,2,2010-09-30,146.75
7906,2010,3,2010-12-30,140.94967565899648
7906,2010,4,2011-03-31,144.75
7906,2011,1,2011-06-30,145
7906,2011,2,2011-09-30,125.5
7906,2011,3,2011-12-30,124.2006546553203
7906,2011,4,2012-03-30,135.52906806532556
7906,2012,1,2012-06-29,127.20249660969885
7906,2012,2,2012-09-28,119
7906,2012,3,2012-12-28,121
7906,2012,4,2013-03-29,128.75023735032238
7906,2013,1,2013-06-28,129.25
7906,2013,2,2013-09-30,140
7906,2013,3,2013-12-30,148.25
7906,2013,4,2014-03-31,162.25
7906,2014,1,2014-06-30,192.5
7906,2014,2,2014-09-30,253.75
7906,2014,3,2014-12-30,323.6754200148953
7906,2014,4,2015-03-31,388.75
7906,2015,1,2015-06-30,500.25
7906,2015,2,2015-09-30,742
7906,2015,3,2015-12-30,775.7509711260309
7906,2015,4,2016-03-31,1115
7906,2016,1,2016-06-30,1425
7906,2016,2,2016-09-30,1218.75
7906,2016,3,2016-12-30,1356.9399934472244
7906,2016,4,2017-03-31,1237
7906,2017,1,2017-06-30,1015
7906,2017,2,2017-09-29,838.9615625998874
7906,2017,3,2017-12-29,723.9661195900145
7906,2017,4,2018-03-30,588.9862660750349
7906,2018,1,2018-06-29,684.7796111329529
7906,2018,2,2018-09-28,766.6660270309343
7906,2018,3,2018-12-28,595.6319181284542
7906,2018,4,2019-03-29,672.9993842434181
7906,2019,1,2019-06-28,618.9898554278934
7906,2019,2,2019-09-30,536
