ticker,fiscal_year,fiscal_quarter,end_date,stock_price
1301,2005,1,2005-06-30,2660.0000497018823
1301,2005,2,2005-09-30,2740.000025538304
1301,2005,3,2005-12-30,3250.0000302917833
1301,2005,4,2006-03-31,3020.0001402562716
1301,2006,1,2006-06-30,2860.0001328254757
1301,2006,2,2006-09-29,2657.784235019211
1301,2006,3,2006-12-29,2520
1301,2006,4,2007-03-30,2623.0940094420703
1301,2007,1,2007-06-29,2550.000023603787
1301,2007,2,2007-09-28,2028.742963882204
1301,2007,3,2007-12-28,1850.0001026822738
1301,2007,4,2008-03-31,1730.0000651139683
1301,2008,1,2008-06-30,2060.00013575787
1301,2008,2,2008-09-30,1710
1301,2008,3,2008-12-30,2098.0100300485624
1301,2008,4,2009-03-31,1870.0000176729723
1301,2009,1,2009-06-30,2010.000151968129
1301,2009,2,2009-09-30,1930.0000911999168
1301,2009,3,2009-12-30,1840.0209544817471
1301,2009,4,2010-03-31,1990.0000752295755
1301,2010,1,2010-06-30,1810.000068425233
1301,2010,2,2010-09-30,1760.0000665357816
1301,2010,3,2010-12-30,1812.1531094651152
1301,2010,4,2011-03-31,1760.0000167563066
1301,2011,1,2011-06-30,1840.0000175179568
1301,2011,2,2011-09-30,1840.0000875898927
1301,2011,3,2011-12-30,1780.002965684319
1301,2011,4,2012-03-30,1980.0001131053923
1301,2012,1,2012-06-29,1900.000651213051
1301,2012,2,2012-09-28,1730.0000988244367
1301,2012,3,2012-12-28,1940.0052824563213
1301,2012,4,2013-03-29,2110.0001607091463
1301,2013,1,2013-06-28,2550.015003733082
1301,2013,2,2013-09-30,2840.000162235838
1301,2013,3,2013-12-30,2660.003444278728
1301,2013,4,2014-03-31,2620.000199558819
1301,2014,1,2014-06-30,2600.0001980360535
1301,2014,2,2014-09-30,2600.0001980371285
1301,2014,3,2014-12-30,2750.0002094623474
1301,2014,4,2015-03-31,2840.0002163176023
1301,2015,1,2015-06-30,2830.0002155559823
1301,2015,2,2015-09-30,2620.0000498896998
1301,2015,3,2015-12-30,2770.001107666012
1301,2015,4,2016-03-31,2580.000049128044
1301,2016,1,2016-06-30,2600.0001980359407
1301,2016,2,2016-09-30,2744
1301,2016,3,2016-12-30,2730.066542078
1301,2016,4,2017-03-31,2936
1301,2017,1,2017-06-30,3090
1301,2017,2,2017-09-29,3338.912755552844
1301,2017,3,2017-12-29,4290.786480971349
1301,2017,4,2018-03-30,3705.8909335321296
1301,2018,1,2018-06-29,3594.602991238935
1301,2018,2,2018-09-28,3389.1710687858213
1301,2018,3,2018-12-28,2882.0133189502226
1301,2018,4,2019-03-29,2836
1301,2019,1,2019-06-28,2866.0222517852017
